frame_id,timestamp_seg,fps,tiempo_inferencia_ms,cantidad_personas,confianza_promedio_frame
1,77.317,7.5939,109.7031,1,0.8675
2,77.444,32.8352,26.1111,1,0.86
3,77.51,32.2208,23.9139,1,0.8575
4,77.583,17.9285,26.3162,1,0.8683
5,77.647,19.7452,25.6891,1,0.8754
6,77.716,20.6066,26.8948,1,0.8696
7,77.786,20.1922,26.9728,1,0.8785
8,77.85,21.222,26.8981,1,0.8681
9,77.915,19.4995,24.6189,1,0.8648
10,77.988,16.9894,26.1447,1,0.8633
11,78.051,20.2193,27.071,1,0.8776
12,78.127,16.1836,28.527,1,0.8726
13,78.183,23.7981,26.6042,1,0.8589
14,78.264,14.9196,28.625,1,0.8423
15,78.317,25.9229,26.2511,1,0.8369
16,78.398,14.9269,29.5291,1,0.8426
17,78.451,25.9693,25.188,1,0.8548
18,78.517,18.9732,27.514,1,0.8568
19,78.591,16.713,25.615,1,0.8526
20,78.653,20.8767,26.6449,1,0.8476
21,78.721,18.4027,27.4718,1,0.8477
22,78.791,17.606,26.9697,1,0.8473
23,78.855,20.071,26.8171,1,0.8472
24,78.919,20.1244,25.624,1,0.8242
25,78.993,16.7098,26.8102,2,0.6575
26,79.048,24.6669,24.9977,2,0.8568
27,79.125,15.727,26.4661,2,0.7584
28,79.182,23.401,25.4982,2,0.8616
29,79.265,14.5671,27.0343,2,0.8763
30,79.314,28.3761,24.6851,2,0.8856
31,79.392,15.4159,26.3321,2,0.8709
32,79.452,21.9213,25.8231,2,0.8912
33,79.518,19.149,25.4989,2,0.8865
34,79.584,19.1942,25.1498,2,0.8828
35,79.66,16.1407,25.0521,2,0.8805
36,79.713,25.3923,24.4308,3,0.8073
37,79.793,15.2793,25.3549,3,0.8404
38,79.848,24.0871,23.603,2,0.882
39,79.924,16.0741,24.446,2,0.8846
40,79.98,23.4572,23.926,2,0.8775
41,80.051,17.7095,23.875,2,0.8655
42,80.123,16.9718,24.7233,2,0.8829
43,80.183,21.4873,24.1132,2,0.8803
44,80.259,16.1692,25.3901,2,0.8649
45,80.314,24.4207,23.468,2,0.8837
46,80.392,15.4593,24.6511,2,0.884
47,80.45,23.0366,24.3912,2,0.8797
48,80.525,16.1731,25.079,2,0.7391
49,80.58,24.2595,24.231,2,0.8343
50,80.662,14.6272,26.104,2,0.8849
51,80.711,29.0901,23.3641,2,0.9032
52,80.792,14.7621,24.6389,2,0.8751
53,80.85,22.8728,24.148,2,0.8722
54,80.925,16.154,24.353,2,0.8599
55,80.981,24.0033,23.9418,2,0.85
56,81.057,15.9773,24.642,2,0.8578
57,81.117,21.7827,24.075,2,0.855
58,81.19,16.7056,25.0089,2,0.7615
59,81.25,21.6928,24.467,2,0.6811
60,81.326,16.1054,24.5702,2,0.7413
61,81.382,23.8698,24.2729,3,0.6664
62,81.462,15.0843,26.123,3,0.5967
63,81.514,25.8791,24.1981,2,0.7496
64,81.591,15.8637,25.806,2,0.6869
65,81.652,21.3406,25.842,2,0.6874
66,81.724,17.0571,25.342,2,0.6849
67,81.785,21.0731,25.3279,3,0.5996
68,81.857,17.3849,26.4313,1,0.8354
69,81.917,21.735,25.1369,1,0.837
70,81.991,16.4002,25.701,1,0.8284
71,82.052,21.438,25.0731,1,0.8377
72,82.119,18.6617,23.7229,1,0.8395
73,82.183,20.0554,23.355,1,0.8492
74,82.257,16.4576,23.7169,1,0.8497
75,82.315,22.9831,24.498,1,0.8932
76,82.392,15.8489,25.5308,1,0.9026
77,82.451,22.2231,24.8201,1,0.9124
78,82.52,18.2782,25.2492,1,0.9169
79,82.592,17.2762,26.0179,1,0.9168
80,82.653,21.1398,25.8863,1,0.9021
81,82.718,19.6278,25.9981,1,0.8753
82,82.792,16.6603,25.0361,1,0.9042
83,82.851,22.4633,24.467,1,0.9017
84,82.925,16.5199,24.3893,1,0.8599
85,82.982,23.2829,24.724,1,0.8731
86,83.056,16.6045,24.5008,1,0.839
87,83.117,20.9801,24.0631,1,0.8793
88,83.19,16.8144,25.027,2,0.6353
89,83.253,20.5956,23.9549,3,0.6401
90,83.321,18.3097,24.2631,1,0.9211
91,83.388,18.7455,23.9019,1,0.9295
92,83.456,18.5071,24.955,1,0.8728
93,83.52,19.7499,25.8939,1,0.9155
94,83.587,18.7536,24.5998,2,0.6684
95,83.659,17.0681,25.4011,1,0.9029
96,83.714,24.6847,23.9661,1,0.9038
97,83.791,15.6896,24.6079,1,0.9022
98,83.853,21.0575,24.8759,1,0.8977
99,83.921,18.1498,24.8358,1,0.8988
100,83.986,19.7597,24.7629,1,0.9123
101,84.058,17.2301,24.57,1,0.9317
102,84.116,22.3116,23.982,1,0.9221
103,84.163,29.991,23.3338,1,0.9271
104,84.243,15.1002,24.9662,1,0.923
105,84.297,25.0118,23.9921,1,0.9297
106,84.375,15.4452,24.5578,1,0.8133
107,84.431,24.1908,23.9978,1,0.8954
108,84.5,18.059,23.6332,1,0.9229
109,84.566,18.9576,24.215,1,0.915
110,84.643,15.7336,24.92,1,0.8777
