frame_id,timestamp_seg,fps,tiempo_inferencia_ms,cantidad_personas,confianza_promedio_frame,conteo_entrada,conteo_salida,alerta
1,11.454,0.4195,2372.3371,4,0.59,0,0,ALERTA: densidad alta de personas (4)
2,11.599,21.1395,42.4068,1,0.812,0,0,ALERTA: densidad alta de personas (4)
3,11.691,17.4244,32.0861,4,0.7159,0,0,ALERTA: densidad alta de personas (4)
4,11.754,22.7583,30.154,3,0.7851,0,0,ALERTA: densidad alta de personas (4)
5,11.823,20.2863,30.4422,3,0.7757,0,0,ALERTA: densidad alta de personas (4)
6,11.9,16.4981,32.48,4,0.7403,0,0,ALERTA: densidad alta de personas (4)
7,11.954,28.792,30.3521,4,0.7751,0,0,ALERTA: densidad alta de personas (4)
8,12.027,17.9575,30.6191,4,0.7209,0,0,ALERTA: densidad alta de personas (4)
9,12.087,24.4893,28.5068,3,0.7824,0,0,ALERTA: densidad alta de personas (4)
10,12.164,16.3762,29.737,4,0.6922,0,0,ALERTA: densidad alta de personas (4)
11,12.224,23.3778,31.364,4,0.7224,0,0,ALERTA: densidad alta de personas (4)
12,12.295,18.6275,32.6557,4,0.7164,0,0,ALERTA: densidad alta de personas (4)
13,12.354,23.2753,28.682,4,0.7098,0,0,ALERTA: densidad alta de personas (4)
14,12.431,16.9967,28.7569,4,0.6491,0,0,ALERTA: densidad alta de personas (4)
15,12.496,20.4069,29.161,4,0.7096,0,0,ALERTA: densidad alta de personas (4)
16,12.564,19.576,29.8281,4,0.71,0,0,ALERTA: densidad alta de personas (4)
17,12.631,20.1045,30.689,3,0.6992,0,0,ALERTA: densidad alta de personas (4)
18,12.691,22.9142,30.0381,3,0.7041,0,0,ALERTA: densidad alta de personas (4)
19,12.763,17.9843,28.9469,3,0.7057,0,0,ALERTA: densidad alta de personas (4)
20,12.827,21.2961,29.8922,3,0.6935,0,0,ALERTA: densidad alta de personas (4)
21,12.896,19.0135,28.9481,3,0.6851,0,0,ALERTA: densidad alta de personas (4)
22,12.961,20.5592,29.3541,3,0.684,0,0,ALERTA: densidad alta de personas (4)
23,13.028,20.061,28.6419,3,0.6743,0,0,ALERTA: densidad alta de personas (4)
24,13.097,19.0879,29.227,3,0.6816,0,0,ALERTA: densidad alta de personas (4)
25,13.157,23.2035,28.6572,3,0.7012,0,0,ALERTA: densidad alta de personas (4)
26,13.226,19.4272,30.5829,3,0.7211,0,0,ALERTA: densidad alta de personas (4)
27,13.297,18.3124,33.0918,3,0.7266,0,0,ALERTA: densidad alta de personas (4)
28,13.361,21.4919,32.491,3,0.7038,0,0,ALERTA: densidad alta de personas (4)
29,13.428,19.8406,30.4089,3,0.6819,0,0,ALERTA: densidad alta de personas (4)
30,13.496,19.9397,30.436,3,0.6925,0,0,ALERTA: densidad alta de personas (3)
31,13.56,21.269,29.3608,3,0.7086,0,0,ALERTA: densidad alta de personas (3)
32,13.63,18.7034,28.6837,3,0.7041,0,0,ALERTA: densidad alta de personas (3)
33,13.698,19.5684,29.8502,3,0.7096,0,0,ALERTA: densidad alta de personas (3)
34,13.76,22.0502,29.0101,3,0.7103,0,0,ALERTA: densidad alta de personas (3)
35,13.831,18.3345,28.872,3,0.6978,0,0,ALERTA: densidad alta de personas (3)
36,13.895,20.8834,29.7401,3,0.7035,0,0,ALERTA: densidad alta de personas (3)
37,13.964,19.324,28.8732,3,0.6985,0,0,ALERTA: densidad alta de personas (3)
38,14.028,21.3553,29.7251,3,0.7016,0,0,ALERTA: densidad alta de personas (3)
39,14.086,23.7535,30.2422,3,0.7155,0,0,ALERTA: densidad alta de personas (3)
40,14.152,20.1678,29.33,3,0.7026,0,0,ALERTA: densidad alta de personas (3)
41,14.235,15.0011,28.723,3,0.7055,0,0,ALERTA: densidad alta de personas (3)
42,14.293,24.2072,29.8512,3,0.7133,0,0,ALERTA: densidad alta de personas (3)
43,14.363,18.1891,29.156,3,0.7118,0,0,ALERTA: densidad alta de personas (3)
44,14.425,21.9868,29.0322,3,0.7023,0,0,ALERTA: densidad alta de personas (3)
45,14.495,18.5116,28.8601,3,0.716,0,0,ALERTA: densidad alta de personas (3)
46,14.561,20.2589,30.021,3,0.7198,0,0,ALERTA: densidad alta de personas (3)
47,14.627,20.3125,28.9409,3,0.7302,0,0,ALERTA: densidad alta de personas (3)
48,14.693,20.2348,29.696,3,0.7259,0,0,ALERTA: densidad alta de personas (3)
49,14.764,18.7502,29.5942,3,0.7199,0,0,ALERTA: densidad alta de personas (3)
50,14.825,22.97,29.757,3,0.7237,0,0,ALERTA: densidad alta de personas (3)
51,14.897,18.0284,30.0963,3,0.7274,0,0,ALERTA: densidad alta de personas (3)
52,14.958,22.7432,30.2701,3,0.7065,0,0,ALERTA: densidad alta de personas (3)
53,15.03,18.2222,30.0171,3,0.668,0,0,ALERTA: densidad alta de personas (3)
54,15.1,18.8427,31.3883,3,0.7045,0,0,ALERTA: densidad alta de personas (3)
55,15.159,24.2819,29.526,3,0.7034,0,0,ALERTA: densidad alta de personas (3)
56,15.231,18.114,29.309,3,0.7311,0,0,ALERTA: densidad alta de personas (3)
57,15.295,21.2435,30.0348,3,0.7033,0,0,ALERTA: densidad alta de personas (3)
58,15.363,19.5312,29.9189,3,0.7129,0,0,ALERTA: densidad alta de personas (3)
59,15.43,19.916,30.3679,3,0.7231,0,0,ALERTA: densidad alta de personas (3)
60,15.495,20.8925,30.4129,3,0.6847,0,0,ALERTA: densidad alta de personas (3)
61,15.565,18.8374,29.9489,3,0.6992,0,0,ALERTA: densidad alta de personas (3)
62,15.628,22.0086,30.3879,3,0.6884,0,0,ALERTA: densidad alta de personas (3)
63,15.698,18.7063,30.1273,3,0.6902,0,0,ALERTA: densidad alta de personas (3)
64,15.763,20.7702,31.7051,3,0.6841,0,0,ALERTA: densidad alta de personas (3)
